# time	energy_highpass
2.510000	-0.125101
2.520000	15.518040
2.530000	5.127054
2.540000	9.241290
2.550000	16.259812
2.560000	7.140673
2.570000	-0.137352
2.580000	0.885573
2.590000	-0.779763
2.600000	-9.536423
2.610000	-7.832222
2.620000	-5.694014
2.630000	-5.174334
2.640000	-13.542531
2.650000	0.275492
2.660000	2.575308
2.670000	-3.763256
2.680000	5.675758
2.690000	-3.725097
2.700000	7.861216
2.710000	2.828556
2.720000	-4.279915
2.730000	-4.504548
2.740000	-2.709296
2.750000	-7.522862
2.760000	-5.315279
2.770000	-6.852105
2.780000	-5.421355
2.790000	-0.989717
2.800000	1.732250
2.810000	7.107602
2.820000	2.813010
2.830000	-2.174190
2.840000	2.593648
2.850000	1.317766
2.860000	-0.594767
2.870000	-1.807023
2.880000	-0.207046
2.890000	-9.361288
2.900000	-10.637596
2.910000	-4.044237
2.920000	8.591216
2.930000	12.388977
2.940000	0.326960
2.950000	-3.641366
2.960000	-2.573442
2.970000	-2.899292
2.980000	-0.984308
2.990000	3.323813
3.000000	2.689678
3.010000	-5.456336
3.020000	-1.554332
3.030000	9.905367
3.040000	6.312569
3.050000	12.083321
3.060000	6.813528
3.070000	4.098354
3.080000	-3.128069
3.090000	-10.726451
3.100000	1.831581
3.110000	-1.530161
3.120000	1.846968
3.130000	-6.269102
3.140000	-1.045944
3.150000	-2.702915
3.160000	0.835313
3.170000	-5.556248
3.180000	-7.605951
3.190000	-3.157015
3.200000	10.970877
3.210000	0.925080
3.220000	-4.237184
3.230000	-1.943214
3.240000	-7.301424
3.250000	0.641480
3.260000	-0.589750
3.270000	-5.793054
3.280000	-3.844616
3.290000	-0.817896
3.300000	-4.941299
3.310000	-0.138976
3.320000	-3.656682
3.330000	-2.652614
3.340000	-0.740388
3.350000	0.615233
3.360000	0.036106
3.370000	-0.785856
3.380000	1.611351
3.390000	2.879586
3.400000	-2.195612
3.410000	1.193351
3.420000	0.667974
3.430000	7.963024
3.440000	1.602883
3.450000	3.710372
3.460000	-5.643048
3.470000	3.305278
3.480000	7.787014
3.490000	4.416302
3.500000	6.947511
3.510000	-0.188699
3.520000	13.198068
3.530000	13.193997
3.540000	-1.298675
3.550000	-2.074344
3.560000	11.434182
3.570000	3.659012
3.580000	11.548815
3.590000	9.654657
3.600000	5.352266
3.610000	12.329839
3.620000	-4.890343
3.630000	-7.280620
3.640000	-0.667287
3.650000	-9.251505
3.660000	-7.168036
3.670000	-0.977572
3.680000	-7.021466
3.690000	-9.452041
3.700000	-6.063254
3.710000	-0.150868
3.720000	-0.184628
3.730000	-2.228093
3.740000	-5.069355
3.750000	-1.905988
3.760000	1.891828
3.770000	-8.588078
3.780000	-9.027357
3.790000	1.324807
3.800000	6.733217
3.810000	-9.325863
3.820000	-14.791233
3.830000	-7.668666
3.840000	-10.194996
3.850000	1.237450
3.860000	-2.272417
3.870000	-2.901460
3.880000	-3.275861
3.890000	-7.062297
3.900000	-11.103336
3.910000	-10.250216
