# time	energy_lowpass
2.510000	-63.315955
2.520000	-63.240753
2.530000	-63.190689
2.540000	-63.149665
2.550000	-63.127323
2.560000	-63.095464
2.570000	-63.052184
2.580000	-63.019475
2.590000	-62.991045
2.600000	-62.934911
2.610000	-62.850278
2.620000	-62.747651
2.630000	-62.618387
2.640000	-62.486110
2.650000	-62.351236
2.660000	-62.194198
2.670000	-62.019453
2.680000	-61.841957
2.690000	-61.660315
2.700000	-61.469952
2.710000	-61.274005
2.720000	-61.057799
2.730000	-60.820263
2.740000	-60.570932
2.750000	-60.306201
2.760000	-60.055913
2.770000	-59.823711
2.780000	-59.592675
2.790000	-59.371354
2.800000	-59.144397
2.810000	-58.910518
2.820000	-58.684943
2.830000	-58.464588
2.840000	-58.224250
2.850000	-57.963792
2.860000	-57.693376
2.870000	-57.406754
2.880000	-57.122675
2.890000	-56.842353
2.900000	-56.551298
2.910000	-56.253688
2.920000	-56.017040
2.930000	-55.846674
2.940000	-55.713987
2.950000	-55.638215
2.960000	-55.577211
2.970000	-55.529823
2.980000	-55.534661
2.990000	-55.584096
3.000000	-55.634888
3.010000	-55.689023
3.020000	-55.763216
3.030000	-55.847829
3.040000	-55.980034
3.050000	-56.162946
3.060000	-56.370919
3.070000	-56.613082
3.080000	-56.837542
3.090000	-57.037109
3.100000	-57.243425
3.110000	-57.441499
3.120000	-57.656261
3.130000	-57.890278
3.140000	-58.117905
3.150000	-58.344274
3.160000	-58.617449
3.170000	-58.938223
3.180000	-59.286863
3.190000	-59.675520
3.200000	-60.069630
3.210000	-60.467063
3.220000	-60.895205
3.230000	-61.346514
3.240000	-61.726669
3.250000	-62.029250
3.260000	-62.293193
3.270000	-62.492018
3.280000	-62.686619
3.290000	-62.878797
3.300000	-63.014166
3.310000	-63.104033
3.320000	-63.206535
3.330000	-63.318921
3.340000	-63.419607
3.350000	-63.521644
3.360000	-63.574643
3.370000	-63.574674
3.380000	-63.556623
3.390000	-63.508295
3.400000	-63.504372
3.410000	-63.555198
3.420000	-63.616126
3.430000	-63.708865
3.440000	-63.797467
3.450000	-63.878554
3.460000	-63.989345
3.470000	-64.122652
3.480000	-64.210772
3.490000	-64.252930
3.500000	-64.277169
3.510000	-64.266596
3.520000	-64.270552
3.530000	-64.292319
3.540000	-64.293366
3.550000	-64.284675
